"RenderingName","NextComponentName","RenderingPath","RenderingDefinitionId","DatasourceLocation","DatasourceTemplate","Editable","ParametersTemplate"
"1 Column","OneColumn","/sitecore/layout/Renderings/Project/Common/Section Columns/1 Column","0ad8ec59-33ec-4103-aad4-f3a49bfdb92c","","","","{4654D5F0-9B39-426A-992D-1D42E356FB0A}"
"2 Column 3-9","TwoColumn39","/sitecore/layout/Renderings/Project/Common/Section Columns/2 Column 3-9","ab7054dd-b8e3-41d6-a75f-b54f2f37d08b","","","","{4654D5F0-9B39-426A-992D-1D42E356FB0A}"
"4 Column 2-2-4-4","FourColumn2244","/sitecore/layout/Renderings/Project/Common/Section Columns/4 Column 2-2-4-4","98d6bc34-0185-42a0-b53b-ceb7b17008b6","","","","{4654D5F0-9B39-426A-992D-1D42E356FB0A}"
"Article Aside Both","ArticleAsideBoth","/sitecore/layout/Renderings/Project/Common/Article Aside Both","a85a0b65-d3b7-48b8-b362-f17aa3ca7df1","","","","{4654D5F0-9B39-426A-992D-1D42E356FB0A}"
"Article Aside Left","ArticleAsideLeft","/sitecore/layout/Renderings/Project/Common/Article Aside Left","eada94fa-315f-4df2-ac49-13346dfdaf12","","","","{4654D5F0-9B39-426A-992D-1D42E356FB0A}"
"Breadcrumb","Breadcrumb","/sitecore/layout/Renderings/Feature/Navigation/Breadcrumb","e6ba23c6-08f7-43d0-be00-bb2129d6f288","","","",""
"Call to Action","CallToAction","/sitecore/layout/Renderings/System/Email/Sample Newsletter/Call to Action","f7539ae8-f96c-4d93-87a4-ceba02e6b14f","./","/sitecore/templates/System/Email/Sample Newsletter/Section Content","","{FD7942B0-B35B-4331-AEDC-929E2C64FA43}"
"Child Page List","ChildPageList","/sitecore/layout/Renderings/Feature/PageContent/Child Page List","84924abf-f983-4af5-9002-ea0237a53da9","","","",""
"Contact Information","ContactInformation","/sitecore/layout/Renderings/Feature/Identity/Contact Information","ca748838-e6d5-4bad-9126-cad10dd1b0db","","","","{A2A233A1-6701-48A9-B5F8-EFEAB74B655F}"
"Content","Content","/sitecore/layout/Renderings/System/Email/Sample Newsletter/Content","75cf2d93-eff1-46e6-8dba-575656a62955","./","/sitecore/templates/System/Email/Sample Newsletter/Section Content","","{FD7942B0-B35B-4331-AEDC-929E2C64FA43}"
"Content Teaser with Summary","ContentTeaserWithSummary","/sitecore/layout/Renderings/Feature/Teasers/Content Teaser with Summary","781c6b36-4b02-46ea-8adc-b92a11877f10","/sitecore/content/Habitat/Settings/Datasources/teasers","/sitecore/templates/Project/Common/Content Types/Teasers/Teaser","","{A2A233A1-6701-48A9-B5F8-EFEAB74B655F}"
"Copyright","Copyright","/sitecore/layout/Renderings/Feature/Identity/Copyright","7dae9f23-890f-4e06-99a7-ccedb74d3d8e","/sitecore/content/Habitat/Settings/Datasources/identity","/sitecore/templates/Feature/Identity/_Identity","",""
"Demo Content","DemoContent","/sitecore/layout/Renderings/Feature/Demo/Demo Content","b883e272-70d8-419a-8af8-819356d839ad","/sitecore/content/Habitat/Settings/Datasources/democontent","/sitecore/templates/Project/Common/Content Types/Demo Teaser","1",""
"Edit Profile","EditProfile","/sitecore/layout/Renderings/Feature/Accounts/Edit Profile","9b05c591-03ce-4684-9d8a-ccce99c399ed","","","",""
"Employee Details","EmployeeDetails","/sitecore/layout/Renderings/Feature/Person/Employee Details","907018d8-cc53-4d34-ad67-3fdf0a25832a","/sitecore/content/Habitat/Settings/Datasources/employee","/sitecore/templates/Feature/Person/_Employee","",""
"Employee Header","EmployeeHeader","/sitecore/layout/Renderings/Feature/Person/Employee Header","b6f11192-7c7b-4de2-9f85-140692b2470b","/sitecore/content/Habitat/Settings/Datasources/person","/sitecore/templates/Feature/Person/_Person","",""
"Employee Header Contact","EmployeeHeaderContact","/sitecore/layout/Renderings/Feature/Person/Employee Header Contact","c6e4cc96-91ac-4074-ad62-7dae344f995d","/sitecore/content/Habitat/Settings/Datasources/employee","/sitecore/templates/Feature/Person/_Employee","",""
"Employees List","EmployeesList","/sitecore/layout/Renderings/Feature/Person/Employees List","dc19892a-b345-4efe-aaa2-6e27a801a733","","","",""
"Facebook Open Graph Metadata","FacebookOpenGraphMetadata","/sitecore/layout/Renderings/Feature/Social/Facebook Open Graph Metadata","3389cafc-000c-41e5-921c-92821b3db7b5","","","",""
"Footer","Footer","/sitecore/layout/Renderings/Project/Common/Footer","299fd8ea-2cfd-4a69-9ca4-7ea24cd34a46","","","",""
"Footer","Footer","/sitecore/layout/Renderings/System/Email/Sample Newsletter/Footer","7429dfc1-4bae-4cdc-ba38-aa7ab27eed33","./","","","{FD7942B0-B35B-4331-AEDC-929E2C64FA43}"
"Forgot Password","ForgotPassword","/sitecore/layout/Renderings/Feature/Accounts/Forgot Password","41ea568d-c3af-45df-b1d0-b7813cd06093","","","",""
"Global Search","GlobalSearch","/sitecore/layout/Renderings/Feature/Search/Global Search","8c3a2cfc-18fb-4bf5-8584-50ea88978ed6","","","",""
"Header","Header","/sitecore/layout/Renderings/System/Email/Sample Newsletter/Header","7b33308f-2118-4c3c-95a0-f12d389ae5cd","./","","","{FD7942B0-B35B-4331-AEDC-929E2C64FA43}"
"Header Topbar","HeaderTopbar","/sitecore/layout/Renderings/Project/Common/Header Topbar","c28b9c5f-8e01-42ec-adf6-3324faf92c7d","","","",""
